,orig,pred
35,4,5
496,4,4
400,3,4
381,1,1
276,4,4
380,5,5
9,4,4
352,2,1
476,5,5
421,5,5
402,2,2
364,5,5
420,1,1
442,5,5
42,2,2
399,5,5
76,4,4
196,4,3
326,2,3
467,5,5
65,5,5
246,3,4
289,5,4
123,5,5
266,5,5
174,4,5
202,4,4
195,5,5
140,2,1
69,4,5
166,4,4
460,4,4
190,5,4
247,5,5
322,5,4
197,4,4
91,3,4
182,4,4
25,3,2
471,5,5
96,4,3
484,4,4
304,5,5
178,5,5
144,5,4
286,4,3
309,5,5
156,3,3
312,5,5
216,5,5
416,5,5
62,0,0
57,5,5
86,5,5
291,3,4
11,4,3
34,5,5
296,2,3
188,5,5
40,4,4
279,1,1
438,1,2
426,4,5
115,3,2
392,2,2
179,3,4
92,3,4
7,5,5
373,2,2
177,3,3
203,4,4
66,4,4
408,5,5
135,5,5
366,3,3
181,4,4
394,5,5
49,5,5
233,3,3
15,5,5
314,2,1
263,2,1
457,2,3
59,5,4
212,5,5
323,5,5
407,5,5
48,3,3
264,4,4
201,3,3
494,5,4
308,1,2
436,5,5
433,4,5
58,3,2
205,4,4
162,3,4
142,5,5
206,5,4
199,5,5
100,4,5
450,5,5
46,4,4
472,2,2
293,4,3
103,4,5
112,4,5
109,3,2
237,5,5
377,5,5
307,5,4
39,2,2
362,5,5
492,0,0
423,4,4
388,3,2
207,4,4
235,3,3
28,5,5
473,5,5
354,0,0
486,5,4
489,5,5
32,1,1
259,4,5
